Conference_ID,Conference_Type,Conference_Title,Conference_Country,Conference_City,Year,Conference_Theme,Person,Organization,Organization_Country,Organization_Region
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Ewa Kowalewska,Human Life International - Europe,Poland,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Sandor Szabo,Hungarian Ambassador to Georgia,Hungary,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Antoni Szymański,Member of Parliament - Poland,Poland,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Igor Dodon,Party of Socialists of the Republic of Moldova,Moldova,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Igor Beloborodov,Russian Institute for Strategic Studies,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Irina Shamolina,Russian Orthodox Church,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Irina Shamolina,Russian Orthodox Church,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Natalia V. Yakunina,Sanctity of Motherhood Foundation,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Natalia V. Yakunina,Sanctity of Motherhood Foundation,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Vladimir A. Mishchenko,Sanctity of Motherhood Foundation,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Tea Gogotishvili,St. Andrew Georgian University,Georgia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Alexey Komov,World Congress of Families - Russia,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Alexey Komov,World Congress of Families - Russia,Russia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Marina Kacharava,,Georgia,Post-Soviet
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Christine de Marcellus de Vollmer,Alianza Latinoamericana para la Familia,Venezuela,Latin America/Caribbean
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Christine de Marcellus de Vollmer,Alianza Latinoamericana para la Familia,Venezuela,Latin America/Caribbean
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Louise Kirk,Alive to the World ,United Kingdom,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Douglas H. Napier,Alliance Defending Freedom,Belgium,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Thomas J. Loya,Annunciation of the Mother of God Byzantine Catholic Parish,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Silvio Dalla Valle,Associazione per La Difesa dei Valori Cristiani – Luci sull’Est,Italy,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Janice Shaw Crouse,Beverly LaHaye Institute of Concerned Women for America,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Mauro Properzi,Brigham Young University,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Elizabeth Carlson,Burpee Museum of Natural History,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Steve Weber,Christian Broadcasting Network,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Paul Diamond,Christian Legal Center,United Kingdom,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Larry S.Kacher,Church of Jesus Christ of Latter-day Saints,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Ignacio Arsuaga,CitizenGo,Spain,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Dom Duarte Pio,Duke of Braganza,Portugal,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Babette Francis,"Endeavour Forum, Inc.",Australia,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,James M. Kushiner ,Fellowship of St. James,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,James M. Kushiner ,Fellowship of St. James,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Stanford D. Swim,GFC Foundation,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Allan C. Carlson,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Allan C. Carlson,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Allan C. Carlson,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,E. Douglas Clark,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Larry Jacobs,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Larry Jacobs,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Larry Jacobs,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Susan Roylance,"Howard Center for Family, Religion, and Society",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Stephen Phelan,Human Life International ,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Friedrich Hansen,Independent Expert,Germany,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Gabriele Kuby,Independent Expert,Germany,The West
